id,url,text,createdAt,retweetCount,replyCount,likeCount,quoteCount,viewCount,isReply
2.06E+18,https://x.com/ngekaoo98_owei/status/2055194753223074038,@Gerindra PUNTEN NANYA.. KASUS NADIEM MAKARIM ITU PESENAN PAK PRABOWO BUKAN SIH ? BIAR BISA MERAMPAS SAHAM OJEK ONLINE NADIEM SUPAYA PROGRAM PAK PRABOWO YANG DIPIDATOKAN DI HARI BURUH BISA DILAKSANAKAN ? atau siapa mastermind yg bisikin pak prabowo untuk skenario sperti ini ??,Fri May 15 07:53:07 +0000 2026,0,1,0,0,39,TRUE
2.06E+18,https://x.com/vischok_luhmyer/status/2055193930795491658,"yaallah mau nangis banget liat kasus chromebook ini.. pak nadiem makasih pak, sudah jadi menteri pendidikan yang sangat sangat lebih baik. kalo mau bilang kebeneran akan terungkap rasanya klise bgt. dasar pemerintah bobrok!! nepotism. ancur udh negara ini wak",Fri May 15 07:49:51 +0000 2026,0,0,0,0,12,FALSE
2.06E+18,https://x.com/juniostronaut/status/2055192516610425174,gw empati dg kasus nadiem tp gw jg gamau klo beliau ga dihukum??,Fri May 15 07:44:14 +0000 2026,0,0,5,0,117,FALSE
2.06E+18,https://x.com/lmalau/status/2055190530066452990,"@BosPurwa @xcintakiehlx @tomlembong jangan belain nadiem ya pak..  Dah bener kok quite spt anies @aniesbaswedan ; Sejauh ini nalar saya utk bebrapa kasus dan akhirnya bebas : bela dirut ASDP, TL, Amsal.. kali ini utk NM tidak..",Fri May 15 07:36:20 +0000 2026,0,0,0,0,42,TRUE
2.06E+18,https://x.com/SoeTjenMarching/status/2055190348419265009,"(2) lalu Nono mendirikan organisasi HAM, tp tak ada pengakuan a/ andil pd '65. Lepas dr itu, apa yg terjadi pd Nadiem amat tak adil. Nadiem mencoba menerapkan sistem transparan, tp diganjar hukuman lbh berat dari pembunuh &amp; pemerkosa. Sy jelas berpihak pd Nadiem dlm kasus ini.",Fri May 15 07:35:37 +0000 2026,0,1,0,0,107,TRUE
2.06E+18,https://x.com/Yanua02_v2/status/2055188076838985958,@wow_bro123 @kafiradikalis Ya karena tuntuntan jaksa gak cuma seputar masalah mark up kok. Jelas dia masuk kesoal kegagalan oemanfaatan khususnya didaerah 3T. Kok maksain bahwa ini cuma kasus mark up? Nekad banget ngebelain Nadiem gitu caranya. https://t.co/DosmVrCYLF,Fri May 15 07:26:35 +0000 2026,0,0,0,0,13,TRUE
2.06E+18,https://x.com/gautama2508/status/2055186728458346905,"Dari kasus nadiem kita belajar, yg bajingan tidak selalu atasan...bawahan pun bisa jadi bajingan. Zona nyaman is everything bagi sesepuh di birokrasi...sigh Kalo cuma umur, setan pun lebih tua dari kalian semua :)",Fri May 15 07:21:14 +0000 2026,0,0,0,0,8,FALSE
2.06E+18,https://x.com/Iqeey/status/2055186066429354439,"Penjara itu isinya bukan 100% orang yang salah, ada yang di jebak,  Tpai soal Nadiem, bandingin dulu kasus E-KTP Mentri nya tidak terseret karna tidak terbukti menerima aliran dana dan merugikan Negara, termasuk menunjuk vendor, yang masuk malah Setya Novanto Cs.",Fri May 15 07:18:36 +0000 2026,0,0,0,0,14,FALSE
2.06E+18,https://x.com/Yanua02_v2/status/2055185396083089844,@AnggitMTTQN @taktekbum Hmmm punishment gak sesuai dengan crime. Kasus korupsi dengan kerugian &gt; 100M itu hukumannya 4 - 20 tahun. Nadiem dituntut 18 tahun penjara. Jadi ya masih dalam koridor hukum kan? Dimana gak fit the crime-nya?,Fri May 15 07:15:56 +0000 2026,0,0,1,0,95,TRUE
2.06E+18,https://x.com/daehypeelS_/status/2055182470421880898,"@_mardial_ Keluarga gua aja lagi dalam kondisi yang sama kek Nadiem, bayangin aja dalam waktu yang sama tapi nggak terekspos karena saking penuhnya berita karena kasus pengadilan chromebook ini. Ngeri cok",Fri May 15 07:04:19 +0000 2026,0,0,0,0,533,TRUE
2.06E+18,https://x.com/piteung27/status/2055180854788489376,@MiskinTV_ setidaknya jadi barang si.  kek masih adalah jejak2 nya meski belum terpakai. kalau kek kasus nadiem gmn tuh min?,Fri May 15 06:57:53 +0000 2026,0,0,0,0,8,TRUE
2.06E+18,https://x.com/JukiHoki/status/2055180549128630752,Kasus nadiem kalian ada di pihak yang mana?,Fri May 15 06:56:40 +0000 2026,0,31,23,4,1859,FALSE
2.06E+18,https://x.com/admairs/status/2055179798474035411,"Dari kasus nadiem makarim sampe org muji habibie aja selalu ada komenan2 begini hadeuh. Poin pentingnya yaitu ""Intinya PETINGGI NEGARA aka habibie bisa nyari cara dan bekerja selayaknya pemimpin negara walau menyesuaikan dgn kondisi masing2"" Halah",Fri May 15 06:53:42 +0000 2026,0,0,1,0,343,FALSE
2.06E+18,https://x.com/lockstock27/status/2055179426367971343,"@KangManto123 Orang bodoh masih framing video potongan ttg APBN 2024 dengan kasus proyek 2019?? jokowi ngasih perintah ke nadiem, tapi jokowi ga minta nadiem menguntungkan perusahaannya sendiri??  Allah nyuruh umatnya menyiarkan agama, tapi Allah ga nyuruh umatnya jd teroris bom bunuh diri??",Fri May 15 06:52:13 +0000 2026,0,1,0,0,51,TRUE
2.06E+18,https://x.com/streetlawyers85/status/2055179133194493973,"Kasus nadiem, jaksa ajukan bukti &amp; saksi yg memberatkan nadiem. Pengacara nadiem, tdk perlihatkan bukti, tapi main opini di sosmed, kerahkan buzer, berharap kasusnya di dengar presiden &amp; dapat pengampunan juga. Kalau semua korupsi dapat pengampunan, kacau negara.",Fri May 15 06:51:03 +0000 2026,0,1,1,0,24,FALSE
2.06E+18,https://x.com/tanjabok/status/2055176503063941626,"Semisal kasus ini Nadiem salah dipersidangan, sebisa mungkin pemerintah tentang pertahankan evolusi literasinya dengan menjaga percepatan ekosistem pendidikan digital. @prabowo @Abe_Mukti",Fri May 15 06:40:36 +0000 2026,0,0,0,0,12,TRUE
2.06E+18,https://x.com/streetlawyers85/status/2055176077983777099,"@JParidjal @democrazymedia Anies nasib hampir sama dgn nadiem, untungnya menerima nasib dipecat jokowi. Kalau tdk, kena kasus korupsi juga.  Nadiem bbrp kali mau dipecat jokowi tapi berlindung di megawati, jadi selalu lolos dari reshafel menteri. Akhirnya kena korupsi.",Fri May 15 06:38:54 +0000 2026,0,1,0,0,31,TRUE
2.06E+18,https://x.com/iswangga_/status/2055174475038232657,"Waktu kasus korupsi dana haji, pendukung Gus Yaqut yakin dia tidak mungkin korupsi karena orang tuanya Kyai. Tapi netizen menolak keras. Gliran Nadiem Makarim kena kasus korupsi, gantian netizen bawa2 orang tuanya Nadiem yg aktivis anti korupsi dan percaya Nadiem bersih??",Fri May 15 06:32:32 +0000 2026,0,0,0,0,22,FALSE
2.06E+18,https://x.com/nanekni/status/2055172783311835602,"udah cukup farmingnya R1, itu investor kalang kabut liat kasus nadiem, dolar sempet nyentuh 17.600 lgi gege, kalau pakai yss pasti udah full item hehe",Fri May 15 06:25:49 +0000 2026,0,0,0,0,11,FALSE
2.06E+18,https://x.com/SubkhanZamzami/status/2055171734459002958,@Txtdariiugm Anak² muda pintar yg sedang membangun karir di luar negeri kalo melihat kasus Nadiem saya yakin mereka enggan utk pulang dan mengabdi utk negeri. Kapok nek kapok.....,Fri May 15 06:21:39 +0000 2026,0,0,0,0,206,TRUE
2.06E+18,https://x.com/lailynelfuadi/status/2055171679392030957,"Btw, mas @ismailfahmi g pengen buat SNA utk kasus mas Nadiem kah? Rasanya semenjak bacaan tuntutan kmrn makin banyak akun2 cenblue yg ngajak utk tidak meng-elu2kan sosok Nadiem. Aneh aja, kok ramenya baru sekarang, dan terkesan bareng2.",Fri May 15 06:21:26 +0000 2026,0,0,0,0,5,FALSE
2.06E+18,https://x.com/Dani82532415/status/2055171570478522516,"@tempodotco Ya dari kasus Nadiem ini, semoga @KPK_RI lebih berani lagi, sekarang ada SK jaksa Agung kalau kalau acuan kerugian negara tidak mengacu pada BPK, jadi dari lembaga manapun bisa, saya mendesak @KPK_RI menangkap semua pejabat2, mereka merugikan negara dari beban gaji dan gak guna",Fri May 15 06:21:00 +0000 2026,0,0,0,0,81,TRUE
2.06E+18,https://x.com/rainy_snowflake/status/2055171295479013495,Efek dominonya udah dimulai bahkan sebelum kasus Nadiem ini,Fri May 15 06:19:54 +0000 2026,0,0,0,0,12,FALSE
2.06E+18,https://x.com/cimyong/status/2055170548712526267,@tempodotco @burhan_infinity kenapa kok nadiem ini dikuliti abis2 an sampek dimiskinkan??? kok koruptor2 lainn keknya gak sampek segini2 nya?pdhl kasus nadiem ini asliii kek masih ngawangggg.,Fri May 15 06:16:56 +0000 2026,0,0,0,0,7,TRUE
2.06E+18,https://x.com/dhanatini/status/2055169871961620528,"@vaneloody @Binbougami_8 @indosight Kak, saya sepakat bahwa Nadiem bukan hero. Udah gak usah diulang2. Dia pebisnis. Baik/buruk, itu subjektif. Pernyataan kamu kontradiktif: 1. Nadiem dikriminalisasi di kasus chromebook = jangan hukum. 2. Nadiem sebagai pebisnis eksploitatif = membiaskan kalo pantas dihukum.",Fri May 15 06:14:15 +0000 2026,0,1,0,0,44,TRUE
2.06E+18,https://x.com/glennmars/status/2055169290454905177,Beberapa kali ngikutin persidangan kayaknya baru di kasus Nadiem ini para JPU tampil di sosmed menjelaskan kasusnya (menurut versi JPU).,Fri May 15 06:11:56 +0000 2026,1,0,1,0,102,FALSE
2.06E+18,https://x.com/socdem_kid/status/2055168236304629908,@jigaz554 @BudiBukanIntel Kalau Nadiem gak kena kasus dia bakal balik  Ada2 aja ngerti gak sih?,Fri May 15 06:07:45 +0000 2026,0,1,0,0,16,TRUE
2.06E+18,https://x.com/HMTata3/status/2055167677988241819,"@denni_sauya @abu_waras Sekarang si nadiem menerima ganjarannya karena selama menjabat dia telah merusak kurikulum pendidikan, dia team eksekutor jokowi program pembodohan generasi penerus bangsa, goblok aje kalau ada yg menyamakan kasus si nadiem dengan kasus Pak Tom Lembong",Fri May 15 06:05:32 +0000 2026,0,0,0,0,37,TRUE
2.06E+18,https://x.com/ohyulkopo/status/2055166383412093221,"Gua tuh dulu gasuka sama KaburAjaDulu karna gua merasa kalau semua orang pintar yang ada di negara ini KABUR nasib rakyat kecil GIMANE COK DIPIMPIN ORANG ORANG TIDAK KOMPETEN. Setelah melihat kasus Mas Nadiem gua sekarang kayak mulai memahami.. Iya guys. Pergi yang jauh, please.",Fri May 15 06:00:23 +0000 2026,1,3,31,0,446,FALSE
2.06E+18,https://x.com/tekarok007/status/2055166302352818604,"Dari pada kasus Korupsi Chromebook, aku lebih bingung sama kelakuan geng Chotimah yang serentak belain Nadiem ini.  Ada apa sih? Toh dia cuma seorang menteri, seperti menteri-menteri lainnya gitu loh yang kena kasus korupsi. Tapi belainnya itu loh habis-habisan, nonstop tiap hari dari awal sampai ketuk palu. Bahkan belain Hasto saja tidak seperti ini loh, malah mereka ribut sendiri, ada yang pro Hasto satunya Pro Bambang Pacul wkwkw. Penasaran aku, mengapa belain Nadiem segitunya? ??",Fri May 15 06:00:04 +0000 2026,2,2,4,0,195,FALSE
